Nobelium	No	102	61	23	259	1827	0	0	1958	6.65	3	3
Lawrencium	Lr	103	64	23	262	1627	0	0	1961	4.9	3	3
Rutherfordium	Rf	104	22	17	261	0	0	0	1964	0	4	3
Dubnium	Db	105	25	17	262	0	0	0	1967	0	4	3
Seaborgium	Sg	106	28	17	263	0	0	0	1974	0	4	3
Bohrium	Bh	107	31	17	262	0	0	0	1981	0	4	3
Hassium	Hs	108	34	17	265	0	0	0	1984	0	4	3
Meitnerium	Mt	109	37	17	266	0	0	0	1982	0	4	3
Darmstadtium	Ds	110	40	17	281	0	0	0	1994	0	4	3
Roentgenium	Rg	111	43	17	272	0	0	0	1994	0	4	3
Copernicium	Cn	112	46	17	285	0	0	0	1996	0	4	3
Ununtrium	ut	113	49	17	284	0	0	0	2003	0	5	3
Flerovium	Fl	114	52	17	289	0	0	0	1999	0	5	3
Ununpentium	up	115	55	17	288	0	0	0	2003	0	5	3
Livermorium	Lv	116	58	17	292	0	0	0	2000	0	5	3
Ununseptium	us	117	61	17	0	0	0	0	2010	0	8	3
Ununoctium	uo	118	64	17	294	0	0	0	2002	0	9	3
